sample-id	input	filtered	denoised	non-chimeric
#q2:types	numeric	numeric	numeric	numeric
18s-mock-even-insilico	100	100	100	100
18s-mock-staggered-insilico	4000	4000	4000	4000
190619-H2O-blank	2	0	0	0
190701-16S-even-v2	10	3	1	1
190701-16S-stag-v2	6	0	0	0
190701-18S-even	57930	17527	17070	16897
190701-18S-stag	36542	15485	15237	15156
190701-H2O-blank-1	2	0	0	0
190701-H2O-blank-2	2	0	0	0
190701-H2O-blank-3	6	0	0	0
190708-H2O-blank-1	6	0	0	0
190708-H2O-blank-2	3	0	0	0
190708-H2O-blank-3	12	0	0	0
190708-H2O-blank-4	31	0	0	0
190711-16s-even-v2	9	1	1	1
190711-16s-stag-v2	9	2	1	1
190711-18s-even	45851	24637	24315	23528
190711-18s-stag	41446	15183	14864	14446
190711-TE-blank-1	8	0	0	0
190711-TE-blank-2	3	0	0	0
190711-TE-blank-3	2	1	1	1
190711-TE-blank-4	2	0	0	0
190715-18s-even	43639	13669	13226	12982
190715-TE-blk	1	0	0	0
S0050	1560	696	453	453
S0052	2071	900	614	614
S0053	1193	540	354	354
S0054	1726	737	582	582
S0055	1559	683	517	517
S0057	10	5	1	1
S0058	1925	715	367	367
S0059	15470	5334	4928	4928
S0060	2018	725	373	373
S0062	1021	374	200	200
S0063	2506	875	691	691
S0064	3446	1180	846	846
S0065	1275	415	234	234
S0066	2549	870	461	461
S0067	2104	685	343	343
S0068	2926	1022	855	855
S0069	1245	422	215	215
S0070	1179	408	225	225
S0071	1275	415	231	231
S0072	645	248	100	100
S0073	1415	472	297	297
S0074	1079	398	185	185
S0075	2182	720	431	431
S0076	1085	387	251	251
S0077	578	206	81	81
S0078	1273	411	255	255
S0079	1041	378	177	177
S0080	1041	346	207	207
S0081	1455	343	237	237
S0082	3557	817	448	448
S0083	2140	536	161	161
S0084	2397	570	217	217
S0085	3367	832	442	442
S0086	3584	837	513	513
S0087	1889	474	311	311
S0088	2885	682	471	471
S0089	2445	569	381	381
S0090	1413	336	78	78
S0091	2594	578	285	285
S0092	2211	891	509	509
S0093	3467	1480	1123	1123
S0094	1460	581	355	355
S0095	1475	359	202	202
S0097	522	137	51	51
S0098	20921	5162	4802	4802
S0099	2327	541	270	270
S0100	1110	264	104	104
S0102	2066	806	521	521
S0103	1497	595	332	332
S0104	1778	736	497	497
S0105	1529	494	197	197
S0106	5270	1616	1256	1256
S0107	2278	715	278	278
S0108	1796	596	289	289
S0109	1606	503	237	237
S0110	2821	954	628	628
S0112	1037	338	194	194
S0115	3311	1006	634	634
S0116	4273	1256	930	930
S0117	2752	883	582	582
S0118	2254	699	432	432
S0119	6886	2039	1794	1794
