sample-id	input	filtered	denoised	merged	non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric
16s-mock-even-insilico-v2	110	110	110	110	110
16s-mock-staggered-insilico-v2	4440	4440	4440	4440	4440
190619-16S-stag-v2	43992	28894	28872	28765	28703
190619-H2O-blank	26	12	3	3	3
190701-16S-even-v2	133928	77393	77261	76760	73921
190701-16S-stag-v2	134950	60903	60772	59749	58624
190701-18S-even	124	40	14	4	4
190701-18S-stag	60	25	6	6	6
190701-H2O-blank-1	25	1	1	0	0
190701-H2O-blank-2	148	47	47	44	44
190701-H2O-blank-3	61	4	1	0	0
190701-H2O-blank-4	2	1	1	1	1
190708-H2O-blank-1	33	1	1	1	1
190708-H2O-blank-2	71	13	12	12	12
190708-H2O-blank-3	207	2	1	0	0
190708-H2O-blank-4	347	0	0	0	0
190711-16s-even-v2	75121	37728	37645	37148	36724
190711-16s-stag-v2	128490	87893	87768	86947	85477
190711-18s-even	84	42	8	0	0
190711-18s-stag	85	39	19	16	16
190711-TE-blank-1	239	40	38	36	36
190711-TE-blank-2	34	10	7	7	7
190711-TE-blank-3	20	3	2	2	0
190711-TE-blank-4	31	0	0	0	0
190715-18s-even	105	43	29	22	22
190715-TE-blk	94	44	38	21	21
S0050	70254	46492	45864	44137	40842
S0052	59387	38596	37632	35156	33042
S0053	51111	33339	32314	29770	27599
S0054	43470	28397	27482	24806	23231
S0055	53979	35429	34637	32529	30417
S0057	5783	3862	3692	3285	3060
S0058	105120	62595	61974	60148	55873
S0059	108020	64136	63404	61011	56911
S0060	99247	58555	57623	54306	49365
S0062	63840	36721	35699	32074	30014
S0063	89749	52254	51201	46770	43175
S0064	101614	59959	59235	56925	53418
S0065	61347	36309	35612	33519	30769
S0066	62916	36717	35748	32337	29878
S0067	106244	61153	59511	54840	50696
S0068	98118	56640	55902	52972	49517
S0069	70881	40248	38965	35283	32842
S0070	62326	35632	34546	30722	28481
S0071	79690	45825	44628	40530	37481
S0072	83276	49713	49011	47086	43436
S0073	116408	69554	68517	65493	60010
S0074	72395	43356	42541	40297	36557
S0075	179474	104253	102853	96985	89391
S0076	89819	51600	50350	45504	42087
S0077	62158	36512	35351	31359	28905
S0078	131216	75331	73735	67712	62627
S0079	121605	70035	68434	62766	57596
S0080	107518	62152	60622	55211	50255
S0081	91592	40651	39665	36427	33006
S0082	78267	36184	35621	33998	31298
S0083	97294	45539	44837	42667	39482
S0084	66782	30668	30102	27835	25439
S0085	87759	40417	39402	35955	33182
S0086	112854	51375	50565	46534	43443
S0087	43989	19744	18962	16260	14980
S0088	86469	38106	37025	33287	30915
S0089	67991	29789	28907	25708	23705
S0090	101518	47923	47431	45717	42892
S0091	129554	60048	59497	57571	53961
S0092	84936	54571	53929	52063	47933
S0093	72487	46473	45817	43795	39357
S0094	83754	53241	52439	49767	46334
S0095	68296	30866	29868	26613	24802
S0097	41367	18725	17837	15127	13922
S0098	103826	47670	46756	43934	40661
S0099	132976	59998	58908	54788	50585
S0100	58498	26917	26150	23677	21782
S0102	83607	52403	50892	46984	43555
S0103	77448	49096	47892	44545	41206
S0104	92712	58564	57132	53420	49706
S0105	57707	32191	31731	30521	29050
S0106	87940	48402	47650	45458	41541
S0107	86484	47707	47070	45259	41939
S0108	75500	41587	40864	38582	35213
S0109	87383	48397	47535	44784	41244
S0110	122254	65572	64084	59177	55386
S0112	46956	25104	24129	20843	19346
S0115	65903	35833	34878	32293	29719
S0116	81725	43845	42275	38026	34777
S0117	90063	48550	46726	42920	39912
S0118	121159	64304	62359	57131	51803
S0119	108753	57567	55980	51155	46580
S0120	132827	70596	68429	62160	56342
S0122	96983	53651	52783	49769	45986
S0124	92982	51318	50543	48430	44997
S0125	62620	34837	34176	32171	29826
S0128	50	23	6	6	6
S0129	111994	59336	57705	52222	48801
S0130	63724	35451	34828	33028	30298
S0131	143381	78022	77003	73699	68485
S0132	163382	89020	88152	85071	79143
S0133	159049	87231	86204	82888	75888
S0134	92878	61629	60453	56551	52915
S0135	92210	60982	59351	55251	51473
S0136	87492	57965	56466	52351	48434
S0137	69694	45821	44171	40230	36725
S0138	89791	60526	59835	58115	54261
S0139	91869	61656	60911	59317	55406
S0140	50956	34106	33281	31311	28762
S0141	54351	35978	34989	32171	29950
S0142	82178	54094	52669	48026	44244
S0143	93319	61671	60033	55196	50272
S0144	70665	46357	44829	40645	37096
S0145	77751	51083	49632	45501	41356
S0231	87196	58374	57807	56115	52210
S0233	74877	50401	49618	48064	44369
S0234	104016	70484	69510	66693	61117
S0235	76367	51270	50205	46590	42583
S0236	81522	53916	52588	48720	44871
S0237	56045	36641	35351	32557	29902
S0238	130693	83545	82536	79754	74393
S0239	61900	41082	40303	38312	35650
S0240	111895	73462	72486	69320	66267
S0242	63427	41430	40623	38974	37629
S0243	102923	70020	68749	65294	61393
S0244	115078	79901	79020	76798	72204
S0245	93703	64834	64148	62457	58972
