accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR12538717	SRP279131	new	PRJNA659851	SAMN15928562	190619_16S_stag_v2	BGT_GA03_GP13_001	SSU rRNA amplicon sequencing of mixed natural samples : mock community for QC	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190619_16S_stag_v2.R1.fastq.gz	190619_16S_stag_v2.R2.fastq.gz				
SRR12538716	SRP279131	new	PRJNA659851	SAMN15928563	190619_H2O_blank	BGT_GA03_GP13_002	SSU rRNA amplicon sequencing of mixed natural samples : blank to assess potential contamination or bleedthrough	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190619_H2O_blank.R1.fastq.gz	190619_H2O_blank.R2.fastq.gz				
SRR12538677	SRP279131	new	PRJNA659851	SAMN15928564	190701_16S_even_v2	BGT_GA03_GP13_003	SSU rRNA amplicon sequencing of mixed natural samples : mock community for QC	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190701_16S_even_v2.R1.fastq.gz	190701_16S_even_v2.R2.fastq.gz				
SRR12538567	SRP279131	new	PRJNA659851	SAMN15928565	190701_16S_stag_v2	BGT_GA03_GP13_004	SSU rRNA amplicon sequencing of mixed natural samples : mock community for QC	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190701_16S_stag_v2.R1.fastq.gz	190701_16S_stag_v2.R2.fastq.gz				
SRR12538551	SRP279131	new	PRJNA659851	SAMN15928566	190701_18S_even	BGT_GA03_GP13_005	SSU rRNA amplicon sequencing of mixed natural samples : mock community for QC	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190701_18S_even.R1.fastq.gz	190701_18S_even.R2.fastq.gz				
SRR12538540	SRP279131	new	PRJNA659851	SAMN15928567	190701_18S_stag	BGT_GA03_GP13_006	SSU rRNA amplicon sequencing of mixed natural samples : mock community for QC	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190701_18S_stag.R1.fastq.gz	190701_18S_stag.R2.fastq.gz				
SRR12538600	SRP279131	new	PRJNA659851	SAMN15928568	190701_H2O_blank_1	BGT_GA03_GP13_007	SSU rRNA amplicon sequencing of mixed natural samples : blank to assess potential contamination or bleedthrough	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190701_H2O_blank_1.R1.fastq.gz	190701_H2O_blank_1.R2.fastq.gz				
SRR12538589	SRP279131	new	PRJNA659851	SAMN15928569	190701_H2O_blank_2	BGT_GA03_GP13_008	SSU rRNA amplicon sequencing of mixed natural samples : blank to assess potential contamination or bleedthrough	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190701_H2O_blank_2.R1.fastq.gz	190701_H2O_blank_2.R2.fastq.gz				
SRR12538578	SRP279131	new	PRJNA659851	SAMN15928570	190701_H2O_blank_3	BGT_GA03_GP13_009	SSU rRNA amplicon sequencing of mixed natural samples : blank to assess potential contamination or bleedthrough	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190701_H2O_blank_3.R1.fastq.gz	190701_H2O_blank_3.R2.fastq.gz				
SRR12538470	SRP279131	new	PRJNA659851	SAMN15928571	190701_H2O_blank_4	BGT_GA03_GP13_010	SSU rRNA amplicon sequencing of mixed natural samples : blank to assess potential contamination or bleedthrough	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	190701_H2O_blank_4.R1.fastq.gz	190701_H2O_blank_4.R2.fastq.gz				
