#SampleID	Project	Cruise	time	depth	lat-long	lat	long	temperature	salinity
#q2:types	categorical	categorical	categorical	numeric	categorical	numeric	numeric	numeric	numeric
16s-mock-even-insilico-v2									
16s-mock-staggered-insilico-v2									
190619-16S-stag-v2									
190619-H2O-blank									
190701-16S-even-v2									
190701-16S-stag-v2									
190701-18S-even									
190701-18S-stag									
190701-H2O-blank-1									
190701-H2O-blank-2									
190701-H2O-blank-3									
190701-H2O-blank-4									
190708-H2O-blank-1									
190708-H2O-blank-2									
190708-H2O-blank-3									
190708-H2O-blank-4									
190711-16s-even-v2									
190711-16s-stag-v2									
190711-18s-even									
190711-18s-stag									
190711-TE-blank-1									
190711-TE-blank-2									
190711-TE-blank-3									
190711-TE-blank-4									
190715-18s-even									
190715-TE-blk									
S0253	GEOTRACES	GP13	2011-06-17T14:06:00	14	32.495 S 157.9945 W	-32.495	-157.9945	19.267	35.484001
S0254	GEOTRACES	GP13	2011-06-17T14:06:00	31	32.495 S 157.9945 W	-32.495	-157.9945	19.278	35.485001
S0255	GEOTRACES	GP13	2011-06-17T14:06:00	51	32.495 S 157.9945 W	-32.495	-157.9945	19.272	35.483002
S0256	GEOTRACES	GP13	2011-06-17T14:06:00	76	32.495 S 157.9945 W	-32.495	-157.9945	19.283	35.484001
S0257	GEOTRACES	GP13	2011-06-17T14:06:00	100	32.495 S 157.9945 W	-32.495	-157.9945	18.326	35.48
S0258	GEOTRACES	GP13	2011-06-17T14:06:00	202	32.495 S 157.9945 W	-32.495	-157.9945	15.273	35.242001
S0260-redo	GEOTRACES	GP13	2011-06-17T20:11:00	5601	32.5125 S 158.028 W	-32.5125	-158.028	1.153	34.708
S0260	GEOTRACES	GP13	2011-06-17T20:11:00	5601	32.5125 S 158.028 W	-32.5125	-158.028	1.153	34.708
S0261	GEOTRACES	GP13	2011-06-18T10:34:00	15	32.494 S 157.00883 W	-32.494	-157.00883	18.821	35.403999
